Nest | ---,(o) <DM> (e) | mag,<Dist> | Mpc,Abell | ---,GName | ---,Npv | ---,PGC1 | ---,GLON GLAT | deg deg,SGLON | deg,SGLAT | deg,logLKs | [Lsun],CF | ---,sigP | km/s,R2t | Mpc,<HV> | km/s,<Vgsr> | km/s,<Vls> | km/s,<Vcmb> | km/s,<Vcmba> | km/s,sigma | km/s,Mvir | TMsun,Mlum | TMsun,LDC | ---,HDC | ---,2M++ | ---,MK2011 | ---,Icnt | ---
201177,3 34.38 0.29,75.3,,,6,64536,349.09 -34.94,221.4862,21.4243,11.82,1.4,264,0.716,5595,5561,5530,5454,5533,307,78.933,36.667,1331,1099,4297,0,0
201047,3 34.38 0.29,75.3,,,3,23314,281.13 -17.24,196.7946,-36.4352,12.01,1.7,312,0.847,7313,7077,7013,7456,7602,183,0,60.533,556,470,4395,0,0
200366,3 34.35 0.23,74,,,6,66313,61.31 -24.33,293.423,56.4754,11.55,1.28,208,0.564,5061,5263,5306,4739,4799,147,4.187,17.867,1392,1139,4506,0,0
100488,3 34.31 0.29,72.7,,,5,26707,239.22 29.80,106.872,-52.1295,11.9,1.5,283,0.768,6189,6001,5961,6521,6633,123,0.403,45.067,635,519,1541,0,0
201129,3 34.30 0.25,72.4,,,3,5468,262.98 -78.33,262.9762,-15.7404,11.62,1.32,221,0.6,5610,5553,5555,5389,5466,142,0,21.6,84,80,3948,0,0
201037,3 34.30 0.21,72.4,,,3,2800,119.22 -72.47,286.6403,-0.6731,11.46,1.37,192,0.521,5942,5999,6036,5617,5700,190,0,14.133,52,38,3808,0,0
200152,3 34.29 0.29,72,,,9,72408,88.56 -60.70,289.5586,15.6648,12.14,1.51,350,0.949,6638,6755,6800,6276,6380,335,85.6,85.467,1528,1247,3699,0,0
209696,3 34.27 0.23,71.3,,,1,6359,146.87 -56.20,303.9244,-10.5285,11,1.26,128,0.347,5432,5497,5547,5139,5209,0,0,4.173,0,0,0,0,0
202261,3 34.27 0.17,71.6,,,2,3133,123.62 -33.61,324.7402,7.8044,11.14,1.16,145,0.393,4570,4735,4806,4258,4306,87,0,6.053,79,0,0,0,2044
200743,3 34.22 0.26,69.9,,,4,16062,204.02 -30.07,309.8943,-57.6599,11.64,1.15,225,0.612,4654,4553,4566,4621,4678,125,0,22.8,328,322,4448,0,0
202036,3 34.22 0.23,69.8,,,2,64410,4.40 -32.14,225.9724,33.8627,11.21,1.48,154,0.417,5996,6017,5998,5811,5900,123,0,7.28,1314,1092,4203,0,0
100780,3 34.21 0.30,69.6,,,4,27253,249.55 25.48,123.2607,-51.5775,11.55,1.21,208,0.565,4372,4160,4109,4707,4766,54,0,18,645,528,1254,0,0
200712,3 34.19 0.27,68.7,,,7,3094739,319.02 -19.79,199.8518,-0.5964,11.61,1.29,219,0.596,4983,4834,4772,5023,5090,150,29.333,21.067,1196,989,4549,0,0
100045,3 34.16 0.19,68.1,,,17,15570,137.46 17.26,17.169,1.787,12.03,1.17,319,0.865,4416,4573,4637,4357,4408,320,105.733,64.667,346,311,1061,0,0
200465,3 34.14 0.14,67.2,,,5,72788,99.11 -52.25,300.1547,16.8424,11.92,1.27,288,0.783,5302,5447,5503,4937,5002,230,10.08,47.733,1534,1254,4101,0,0
200098,3 34.13 0.21,67.1,,,12,9642,167.83 -52.86,304.4561,-23.0747,12.09,1.42,335,0.909,6476,6495,6538,6239,6341,204,56.933,74.933,0,0,0,0,0
200747,3 34.12 0.29,66.7,,,4,5778,157.88 -72.30,286.9387,-12.1658,11.54,1.26,206,0.56,5309,5328,5360,5024,5091,122,0,17.467,99,84,3797,0,0
101044,3 34.11 0.23,66.4,,,3,49995,347.39 64.59,113.0301,18.2292,11.54,1.25,206,0.559,4746,4734,4698,5009,5075,175,0,17.333,982,830,1822,0,0
100189,3 34.11 0.15,66.3,,,8,50558,9.87 69.56,103.2763,22.2431,12.06,1.29,325,0.883,5047,5073,5050,5283,5357,280,74.133,68.667,996,0,1691,0,0
200514,3 34.09 0.29,65.8,,,5,19778,282.46 -25.87,207.0711,-34.0455,11.56,1.17,210,0.569,4264,4043,3984,4355,4405,135,9,18.4,460,410,4546,0,0
101009,3 34.09 0.29,65.7,,,3,40656,292.02 54.73,121.8893,-8.9656,11.73,1.37,244,0.661,5447,5321,5265,5799,5888,205,0,28.933,864,710,1798,0,0
101264,3 34.09 0.23,65.9,,,3,46809,66.93 81.75,87.1623,14.0853,11.48,1.27,196,0.531,4899,4940,4932,5139,5209,78,0,14.933,0,0,1830,0,0
200261,3 34.05 0.29,64.7,,,7,7054,285.41 -58.61,241.6276,-21.5954,11.94,1.39,293,0.796,5905,5774,5749,5789,5877,196,58.133,50.4,129,0,0,0,0
200166,3 34.01 0.13,63.3,,,9,6415,144.34 -49.89,310.3983,-9.3195,12.13,1.24,347,0.941,5298,5381,5437,5008,5074,168,34.8,83.2,114,95,4086,0,0
100341,3 34.00 0.23,63,,,6,48161,314.39 30.92,148.9606,0.6965,11.55,1.2,208,0.565,4351,4208,4137,4629,4686,199,30.533,18,956,801,1282,0,2543
101014,3 33.98 0.20,62.5,,,3,23616,224.56 20.23,84.1279,-63.3033,11.58,1.27,213,0.579,4892,4722,4698,5166,5237,200,0,19.333,563,478,0,0,0
202704,3 33.97 0.23,62.3,,,2,2818,121.39 -54.66,303.8781,3.9253,11.39,1.25,180,0.489,5254,5368,5424,4914,4978,30,0,11.733,53,0,0,0,0
202241,3 33.97 0.21,62.2,,,2,8173,154.87 -51.69,307.9114,-15.7637,10.86,1.06,113,0.307,3460,3515,3565,3193,3220,91,0,2.88,149,0,0,0,0
201322,3 33.90 0.24,60.1,,,3,64601,49.92 -17.10,276.1223,66.4461,11.55,1.26,208,0.564,4825,5013,5043,4548,4603,56,0,17.867,1338,1098,4626,0,0
200649,3 33.86 0.21,59,,,4,64759,54.25 -15.92,286.9786,66.7406,11.46,1.22,192,0.521,4513,4713,4748,4231,4279,231,0,14.133,1344,1102,4624,0,0
101332,3 33.83 0.25,58.3,,,3,19886,129.60 27.02,26.4092,9.7734,11.16,1.17,147,0.399,4372,4542,4601,4344,4394,49,0,6.347,439,0,0,0,0
200195,3 33.82 0.19,58.2,,,8,12083,152.14 -16.94,344.1508,-15.9323,11.77,1.21,252,0.685,5189,5290,5356,5020,5087,218,14.4,32.133,244,222,0,0,0
200527,3 33.80 0.26,57.6,,,5,9861,189.37 -62.36,288.7822,-27.4496,11.46,1.16,192,0.521,4612,4581,4607,4397,4448,108,7.36,14.133,174,158,4199,0,0
102574,3 33.77 0.21,56.7,,,2,20559,183.96 19.72,32.4112,-39.9824,10.87,1.14,114,0.311,3921,3897,3922,4054,4098,57,0,2.973,499,0,0,0,0
101350,3 33.66 0.29,54,,,3,25198,245.69 16.89,127.726,-60.5575,11.32,1.22,169,0.459,4514,4293,4245,4818,4880,42,0,9.64,0,0,1098,0,0
101218,3 33.56 0.31,51.6,,,3,60967,39.42 19.91,118.8375,74.372,11.09,1.14,139,0.376,4172,4332,4339,4101,4146,97,0,5.307,1210,1002,0,0,0
200205,3 33.48 0.23,49.7,,,8,9379,151.74 -37.31,323.0046,-15.2439,11.81,1.11,262,0.711,4161,4243,4303,3918,3959,134,3.36,35.733,173,146,4338,0,0
200504,3 33.44 0.25,48.8,,,5,63214,342.11 -26.97,211.2868,18.7068,11.5,1.1,199,0.54,3294,3231,3189,3214,3242,151,20.933,15.733,1264,1048,4577,5066632,2791
200278,3 33.39 0.13,47.7,,,7,16386,203.53 -27.66,313.9031,-58.908,11.75,1.09,248,0.673,3933,3832,3846,3912,3953,143,4.773,30.4,328,327,4585,0,0
100785,3 33.17 0.17,43.1,,,4,26932,225.04 38.75,87.4339,-44.8758,11.15,1.02,147,0.399,2116,1976,1951,2439,2455,47,0,6.293,643,525,1317,5066755,582
200083,3 32.90 0.22,38,,,13,62870,340.09 -25.14,208.8902,17.4952,11.97,1.11,301,0.817,3364,3293,3248,3301,3330,199,42.8,54.533,1264,1048,4577,5067018,0
200372,3 32.87 0.19,37.4,,,6,17860,222.76 -21.48,285.9399,-74.2005,11.46,1.03,192,0.521,2998,2829,2818,3069,3094,130,13.067,14.133,415,370,4670,5066720,650
200691,3 32.60 0.24,33.1,,,4,20514,241.80 -8.15,188.1745,-75.5681,11.02,1.01,130,0.353,2183,1958,1920,2370,2385,169,0,4.4,391,432,0,0,629
200811,3 32.59 0.19,33,,,4,4946,137.09 -57.47,302.6849,-5.1783,11.62,1.01,221,0.6,2314,2395,2447,2000,2011,46,0,21.6,90,70,0,5066674,901
100214,3 32.55 0.20,32.4,,,8,45466,307.84 38.95,140.2006,-3.3712,11.67,1.07,232,0.629,2997,2852,2785,3310,3339,143,7.027,24.8,852,751,1294,5066601,0
208461,3 32.51 0.25,31.7,,,1,64607,24.68 -28.69,239.1418,48.7267,11.23,1.1,157,0.425,3292,3389,3391,3049,3074,0,0,7.68,0,0,0,5067021,0
200331,3 32.45 0.15,30.9,,,6,66549,350.30 -43.71,230.2768,18.3295,11.59,1.03,215,0.584,2262,2234,2210,2082,2094,278,31.867,19.867,1396,1142,0,5067028,1072
100357,3 32.39 0.16,30,,,6,28845,267.14 16.58,149.2569,-44.4926,11.63,1.06,222,0.603,2799,2560,2494,3114,3140,147,7.987,21.867,712,553,1118,5066775,495
100477,3 32.34 0.17,29.3,,,5,50191,102.69 58.97,62.6444,22.6973,11.36,1.01,176,0.479,1838,1970,1994,1955,1965,143,8.28,10.973,990,835,1198,5066968,738
101372,3 32.30 0.21,28.9,,,3,36914,210.40 76.18,85.9754,-6.8999,10.89,1.01,117,0.316,1808,1783,1768,2112,2124,23,0,3.16,0,0,1332,5066846,173
101227,3 32.28 0.17,28.6,,,3,24723,139.78 33.92,33.9607,1.5325,10.97,1.02,125,0.339,2163,2295,2345,2202,2215,94,0,3.88,584,488,1048,5066736,136
101166,3 32.23 0.20,28,,,3,51787,351.74 56.44,119.8959,23.6982,10.89,1.01,117,0.316,1593,1585,1547,1829,1838,123,0,3.16,852,873,1324,5066979,674
100444,3 32.20 0.19,27.5,,,5,34778,256.65 57.78,106.2955,-21.664,11.34,1.01,173,0.469,1563,1438,1395,1928,1938,210,5.053,10.28,852,639,0,5066822,377
101126,3 32.15 0.19,26.9,,,3,26981,259.58 15.15,145.803,-51.5331,11.11,1.04,141,0.381,2493,2255,2195,2803,2824,139,0,5.547,629,527,1031,5066756,497
103087,3 32.14 0.18,26.8,,,2,29050,157.82 48.36,50.9783,-8.5376,10.89,1,117,0.316,1122,1183,1211,1283,1287,8,0,3.16,852,0,0,5066777,157
101169,3 32.11 0.18,26.4,,,3,25915,155.47 40.43,42.8212,-9.4165,11.23,1,157,0.427,1389,1465,1502,1508,1514,122,0,7.72,852,493,1041,5066746,167
100784,3 32.07 0.17,25.9,,,4,30744,201.54 58.63,75.8553,-21.8232,11.14,1,145,0.395,1375,1328,1320,1671,1678,51,0,6.133,852,582,0,5066791,370
107477,3 31.98 0.20,24.9,,,1,23997,245.36 10.06,137.7096,-65.7254,11.45,1.01,190,0.515,1675,1447,1401,1954,1964,0,0,13.6,391,0,0,0,543
102644,3 31.97 0.28,24.8,,,2,61165,37.96 17.48,128.659,75.542,10.83,1.04,110,0.299,2907,3064,3071,2827,2848,49,0,2.653,0,0,0,5066627,0
201235,3 31.73 0.17,22.1,,,3,9057,202.00 -68.32,280.1265,-25.7273,11,1,128,0.347,1572,1526,1544,1357,1362,94,0,4.173,180,140,0,5066687,894
150002,3 31.72 0.11,22.1,,,2,42741,294.13 75.91,102.9313,0.6458,10.47,1,80,0.219,1072,1025,991,1393,1398,77,0,1.036,0,0,1,5066891,0
200497,3 31.69 0.20,21.8,,,5,1851,338.61 -82.58,263.0754,-3.5937,11.19,1,151,0.411,1624,1606,1614,1358,1363,159,10.987,6.907,37,23,0,5066669,1096
101245,3 31.64 0.18,21.3,,,3,34160,277.27 31.15,138.7203,-29.4068,11.39,1,180,0.489,1377,1169,1101,1726,1734,86,0,11.693,852,633,1140,5066817,421
200749,3 31.63 0.20,21.2,,,4,17436,225.72 -26.62,274.2448,-69.641,11.15,1,146,0.396,1741,1571,1558,1790,1799,121,0,6.213,392,359,4686,5066718,617
200507,3 31.47 0.19,19.7,,,5,14638,232.72 -46.47,264.3225,-49.5842,11.25,1,159,0.433,1257,1109,1100,1201,1205,148,6.72,8.093,391,271,2,5066710,961
202978,3 31.46 0.19,19.6,,,2,67919,33.50 -51.08,259.8502,31.3668,10.14,1.01,61,0.165,1773,1860,1876,1459,1465,4,0,0.445,0,0,4603,5067034,1126
210406,3 31.43 0.22,19.3,,,1,771919,218.54 -60.40,275.3423,-35.5053,10.85,1,112,0.304,1680,1592,1599,1525,1531,0,0,2.813,391,217,0,5066006,849
100480,3 31.37 0.19,18.8,,,5,49547,340.84 63.20,115.4924,16.0668,11.38,1,178,0.484,1277,1251,1212,1550,1556,133,2.587,11.307,852,820,1161,5066960,692
200723,3 31.26 0.17,17.8,,,4,12431,219.28 -57.39,275.5709,-38.5426,11.05,1,134,0.363,1667,1570,1576,1528,1534,136,0,4.773,391,217,4695,5066698,850
101322,3 31.09 0.13,16.5,,,3,54470,91.91 51.72,59.2977,31.6884,10.94,1,121,0.329,700,861,890,765,767,52,0,3.573,852,891,0,5067001,811
102880,3 30.73 0.21,14,,,2,33166,202.09 65.52,79.4059,-15.7924,10.39,1,75,0.203,698,662,652,998,1001,25,0,0.829,852,601,0,5066812,0
103089,3 30.73 0.17,14,,,2,37235,170.65 74.17,76.807,-2.4543,10.8,1,107,0.291,923,938,936,1185,1189,8,0,2.453,852,0,0,5066575,108
212058,3 30.48 0.22,12.5,,,1,6318,141.61 -47.35,312.9658,-7.5108,10.14,1.01,61,0.165,850,944,1003,556,557,0,0,0.445,0,0,0,5066678,329
101956,3 30.13 0.20,10.6,,,2,25950,251.88 16.75,136.101,-56.5418,11.24,1,158,0.428,791,561,508,1102,1105,151,0,7.827,391,0,0,5066086,1010
200807,3 30.12 0.17,10.5,,,4,10123,145.01 -19.25,341.4651,-9.2633,10.34,1.02,71,0.193,595,720,790,391,391,54,0,0.728,852,155,4700,5066690,324
102705,3 29.26 0.14,7.1,,,2,42637,142.78 84.23,84.2281,5.7464,10.89,1,116,0.316,635,657,649,898,900,42,0,3.147,852,699,0,5066890,211
112996,3 27.55 0.07,3.2,,,1,21396,150.57 29.19,30.7969,-8.3057,9.61,1.02,40,0.109,141,244,293,190,190,0,0,0.132,852,673,0,5066767,217
203921,2 37.59 0.35,329.6,,,1,169998,113.58 -76.31,282.0634,-0.4765,12.49,11.53,476,1.293,16240,16286,16319,15920,16583,0,0,216,0,0,0,0,0
104173,2 37.37 0.35,297.9,,,1,957637,321.91 48.90,131.3787,7.666,12.55,11.7,501,1.36,15611,15520,15463,15906,16568,0,0,250.667,0,0,0,0,0
204435,2 37.36 0.35,295.8,,,1,174739,165.62 -63.12,294.743,-18.2333,12.2,8.83,369,1.001,15555,15572,15609,15292,15903,0,0,100.267,0,0,0,0,0
200487,2 37.27 0.35,284.4,,,5,130040,321.33 -73.81,253.7949,-4.9696,13.16,12.31,861,2.337,15991,15943,15938,15763,16417,177,2.68,1273.333,0,0,3024,0,0
101552,2 37.27 0.35,284.4,,,2,170206,302.07 50.68,127.8284,-4.6496,12.66,7.44,553,1.503,14145,14019,13960,14482,15034,330,0,338.667,0,0,0,0,0
101550,2 37.26 0.35,283.8,,,2,626413,309.04 25.34,153.8169,-4.7614,12.59,8.88,519,1.411,14764,14597,14523,15041,15636,331,0,280,0,0,2172,0,0
103856,2 37.15 0.35,269.2,,,1,1039320,242.45 34.55,108.2082,-46.7189,12.79,12.55,620,1.684,15668,15485,15442,16014,16684,0,0,476,0,0,0,0,0
104643,2 37.12 0.35,266.1,,,1,1137974,13.17 32.23,136.388,48.9478,12.23,5.93,378,1.025,13619,13680,13654,13698,14190,0,0,107.6,0,0,0,0,0
101824,2 37.11 0.35,264.2,,,2,53044,22.18 61.22,103.979,31.9765,12.43,5.06,453,1.229,12938,12995,12977,13124,13577,189,0,185.333,0,0,2859,0,0
104383,2 37.10 0.35,263.6,,,1,1075112,11.21 30.18,140.3347,48.5067,12.37,10.15,430,1.168,15367,15422,15394,15444,16067,0,0,158.667,0,0,0,0,0
201421,2 37.10 0.35,263,,,2,8432,181.96 -66.87,287.5699,-22.0432,13,14.74,747,2.029,16784,16770,16797,16543,17264,801,0,833.333,0,0,0,0,0
101909,2 37.04 0.35,256.4,,,2,1048137,229.84 19.50,95.3256,-64.0625,12.25,4.33,385,1.045,12217,12032,12002,12502,12912,165,0,113.867,0,0,1616,0,0
100794,2 37.04 0.28,255.9,,,3,58473,45.47 40.81,92.543,55.473,13.74,47.59,1353,3.673,19552,19698,19704,19587,20601,2065,0,4946.667,0,0,0,0,0
100650,2 37.03 0.35,254.1,,,4,812677,302.95 40.07,138.2816,-6.8116,12.84,5.95,651,1.768,13397,13245,13177,13722,14217,200,0,550.667,0,0,2611,0,0
101523,2 37.02 0.35,253.5,,,2,3082293,312.18 20.77,158.7674,-2.5788,12.92,11.16,696,1.889,15470,15306,15232,15723,16374,364,0,672,0,0,1870,0,0
201523,2 37.00 0.35,251.2,,,2,6506,172.79 -72.43,284.8479,-16.193,12.71,8.54,578,1.571,15156,15155,15184,14891,15474,383,0,386.667,0,0,3056,0,0
102293,2 36.99 0.35,250.6,,,2,47618,311.94 24.78,154.7607,-2.2486,12.7,9.51,574,1.559,14982,14822,14749,15249,15861,91,0,377.333,0,0,2174,0,0
203724,2 36.90 0.35,240.4,,,1,1057569,53.77 -42.87,276.1643,40.4676,12.64,13.4,544,1.477,16097,16245,16279,15753,16401,0,0,321.333,0,0,0,0,0
205287,2 36.90 0.35,239.9,,,1,16609,211.99 -29.68,299.7851,-62.5399,11.89,4.17,281,0.763,12689,12562,12566,12684,13106,0,0,44.133,0,0,0,0,0
102256,2 36.89 0.35,238.8,,,2,151075,226.17 11.34,86.1166,-72.2974,12.82,12.6,638,1.732,15824,15641,15616,16070,16750,95,0,518.667,0,0,0,0,0
201529,2 36.88 0.35,238.2,,,2,8244,187.38 -69.12,284.3055,-21.9823,12.93,11.46,702,1.907,16059,16037,16061,15821,16480,369,0,692,0,0,0,0,0
203983,2 36.87 0.35,236.6,,,1,128929,344.37 -43.67,228.2589,14.499,12.45,9.09,460,1.249,14827,14781,14753,14666,15229,0,0,194.667,0,0,0,0,0
204842,2 36.86 0.35,236,,,1,127594,326.22 -46.68,227.3071,1.4192,12.04,7.04,320,0.869,14097,14002,13967,13975,14487,0,0,65.6,0,0,0,0,0
200883,2 36.85 0.35,233.9,,,3,147099,213.98 -28.22,298.5125,-64.6953,12.52,4.47,489,1.328,13023,12888,12890,13032,13478,436,0,233.333,0,0,3743,0,0
104966,2 36.84 0.35,233.3,,,1,811890,327.31 36.25,144.2274,11.7409,12.14,6.47,350,0.951,13794,13696,13634,14048,14565,0,0,85.733,0,0,2512,0,0
104334,2 36.83 0.35,232.3,,,1,860175,344.44 31.75,147.6008,26.2698,12.44,11.75,456,1.239,15692,15648,15594,15873,16532,0,0,189.333,0,0,0,0,0
105504,2 36.82 0.35,231.2,,,1,3794076,299.21 50.17,127.7959,-6.5962,11.93,3.9,291,0.792,11870,11739,11678,12212,12604,0,0,49.467,0,0,0,0,0
104466,2 36.82 0.35,230.7,,,1,970828,234.95 16.41,108.1828,-66.0683,12.38,9.17,432,1.173,14884,14683,14647,15169,15771,0,0,161.333,0,0,0,0,0
204332,2 36.81 0.35,230.7,,,1,809446,17.75 -21.96,225.1249,49.4803,12.25,8.44,385,1.047,14498,14576,14568,14303,14839,0,0,114.4,0,0,0,0,0
204088,2 36.79 0.35,228,,,1,1020112,125.53 -70.20,289.3818,-2.0991,12.39,9.43,436,1.184,15210,15270,15310,14887,15467,0,0,165.333,0,0,3064,0,0
204017,2 36.79 0.35,228,,,1,293327,277.73 -27.46,210.0909,-37.8399,12.42,10.72,448,1.217,15582,15359,15304,15667,16309,0,0,180,0,0,0,0,0
204544,2 36.78 0.35,227.5,,,1,147311,217.20 -27.94,293.5156,-66.7396,12.15,4.66,353,0.959,13214,13069,13067,13233,13692,0,0,87.733,0,0,0,0,0
204976,2 36.76 0.35,225.4,,,1,131178,251.55 -60.43,256.0684,-32.9056,11.99,5.45,306,0.832,13450,13324,13313,13328,13794,0,0,57.467,0,0,0,0,0
200573,2 36.75 0.35,223.9,,,4,2042,113.38 -64.73,293.0284,4.1848,13.43,15.93,1069,2.903,16896,16986,17032,16554,17276,413,0,2440,0,0,3038,0,0
104533,2 36.75 0.35,223.4,,,1,155695,264.46 35.25,127.353,-35.7272,12.38,10.66,431,1.171,15227,15026,14967,15588,16224,0,0,160,0,0,2604,0,0
105164,2 36.74 0.35,222.8,,,1,896500,337.73 38.71,141.032,19.7924,12.04,4.81,320,0.869,12699,12637,12581,12927,13365,0,0,65.6,0,0,0,0,0
203530,2 36.72 0.35,221.3,,,1,18912,232.78 -17.42,245.5857,-78.3036,12.79,10.77,621,1.685,15829,15630,15606,15947,16612,0,0,477.333,0,0,0,0,0
203991,2 36.72 0.35,220.8,,,1,2829045,328.65 -11.03,192.7222,9.5871,12.44,9.18,456,1.239,14339,14219,14157,14390,14933,0,0,189.333,0,0,0,0,0
105073,2 36.71 0.35,219.3,,,1,1021879,265.11 48.36,116.9322,-26.1051,12.12,6.74,343,0.932,13783,13622,13569,14154,14679,0,0,80.8,0,0,0,0,0
204916,2 36.70 0.35,218.8,,,1,801591,226.57 -27.50,271.9567,-68.8066,12.01,5.42,312,0.847,13743,13571,13558,13789,14287,0,0,60.533,0,0,0,0,0
200991,2 36.70 0.28,218.8,,,3,6858,155.82 -61.55,297.7985,-14.2791,12.7,6.18,573,1.556,14152,14190,14233,13872,14378,233,0,376,0,0,3130,0,0
204134,2 36.69 0.35,218.3,,,1,101125,71.16 -78.20,274.7467,4.4893,12.36,12.07,425,1.155,15826,15868,15893,15506,16135,0,0,153.333,0,0,0,0,0
203844,2 36.69 0.35,217.8,,,1,172039,104.85 -69.31,287.3989,4.9205,12.55,11.35,502,1.364,15899,15977,16017,15558,16192,0,0,253.333,0,0,0,0,0
103911,2 36.69 0.35,217.8,,,1,43574,303.46 43.26,135.4395,-6.0513,12.69,6.74,571,1.551,14014,13871,13805,14343,14882,0,0,372,0,0,0,0,0
205070,2 36.68 0.35,216.3,,,1,217784,299.56 -30.29,209.9916,-18.5212,11.95,4.95,296,0.804,12715,12528,12470,12749,13176,0,0,51.733,0,0,3622,0,0
204768,2 36.67 0.35,216.3,,,1,129623,254.65 -35.50,233.72,-51.6739,12.06,6.18,326,0.885,13718,13514,13479,13756,14252,0,0,69.2,0,0,0,0,0
104599,2 36.67 0.35,215.8,,,1,159265,317.13 44.06,136.0966,4.2212,12.31,8.21,406,1.101,14523,14411,14349,14822,15398,0,0,133.333,0,0,0,0,0
104131,2 36.65 0.35,213.8,,,1,3093211,240.70 26.73,110.7801,-54.5178,12.58,10.9,515,1.4,15331,15134,15092,15658,16299,0,0,273.333,0,0,0,0,0
204668,2 36.65 0.35,213.8,,,1,69826,65.96 -53.39,282.3639,28.4827,12.11,7.07,341,0.925,14374,14508,14547,14012,14526,0,0,78.933,0,0,3160,0,0
202897,2 36.64 0.35,212.8,,,2,247584,296.33 -13.36,191.8968,-21.8828,12.11,4.18,341,0.925,12146,11930,11860,12286,12682,11,0,78.933,0,0,4244,0,0
101398,2 36.64 0.35,212.3,,,2,29596,245.95 39.54,109.0123,-41.0262,13.12,14.09,831,2.257,16026,15850,15805,16383,17090,1184,0,1148,0,0,2779,0,0
204007,2 36.63 0.35,211.8,,,1,144318,158.03 -66.02,293.0774,-14.0689,12.43,10,452,1.227,15678,15705,15743,15397,16017,0,0,184,0,0,0,0,0
104508,2 36.62 0.35,211.3,,,1,158356,304.89 34.68,143.9201,-6.5449,12.37,9.13,427,1.161,14849,14689,14618,15160,15762,0,0,156,0,0,0,0,0
101560,2 36.61 0.35,210.4,,,2,3081448,229.39 15.22,95.2841,-68.3631,12.57,6.6,509,1.383,13814,13625,13596,14083,14604,321,0,264,0,0,1607,0,0
201036,2 36.61 0.35,209.9,,,3,1009651,176.63 -60.78,294.4065,-23.7775,12.95,12.19,715,1.943,16294,16290,16323,16058,16737,191,0,730.667,0,0,3054,0,0
204247,2 36.61 0.35,209.9,,,1,933587,135.61 -76.33,283.7303,-5.7256,12.29,10.07,399,1.084,15597,15630,15662,15292,15904,0,0,127.2,0,0,0,0,0
201541,2 36.61 0.35,209.4,,,2,3590,133.96 -77.91,282.1284,-5.4677,12.92,13.97,696,1.891,16526,16555,16585,16222,16915,353,0,674.667,0,0,3015,0,0
202711,2 36.60 0.35,208.9,,,2,345398,272.49 -24.39,207.7673,-43.1719,12.29,4.76,399,1.084,12891,12660,12605,12999,13443,29,0,127.2,0,0,3853,0,0
104229,2 36.60 0.35,208.9,,,1,43036,300.05 61.16,117.4503,-2.6549,12.5,8.38,481,1.307,14527,14431,14381,14866,15445,0,0,222.667,0,0,2922,0,0
104181,2 36.60 0.35,208.4,,,1,170264,317.33 44.87,135.3025,4.4259,12.52,8.39,490,1.331,14701,14591,14530,15001,15590,0,0,234.667,0,0,0,0,0
105094,2 36.58 0.35,207,,,1,37979,292.10 24.78,150.7766,-19.8211,12.11,6.47,340,0.924,13722,13518,13443,14036,14552,0,0,78.667,0,0,0,0,0
204869,2 36.58 0.35,207,,,1,4237,150.71 -79.94,279.8935,-8.5369,12.03,4.32,317,0.861,12688,12701,12727,12398,12802,0,0,63.867,0,0,0,0,0
102497,2 36.57 0.35,206.5,,,2,45639,308.18 37.84,141.3482,-3.3191,12.47,6.67,468,1.272,13810,13664,13595,14120,14644,64,0,205.333,0,0,0,0,0
104265,2 36.57 0.35,206.5,,,1,1113709,227.38 22.80,89.7907,-61.1547,12.51,13.39,486,1.32,15604,15430,15402,15894,16554,0,0,229.333,0,0,2015,0,0
104606,2 36.57 0.35,206.1,,,1,47960,314.44 32.65,147.2478,0.9507,12.29,6.8,401,1.088,13912,13772,13702,14194,14722,0,0,128.667,0,0,0,0,0
204379,2 36.57 0.35,205.6,,,1,6956,186.14 -73.65,281.425,-18.301,12.23,7.35,379,1.028,14602,14584,14607,14351,14890,0,0,108.533,0,0,0,0,0
204575,2 36.56 0.35,205.6,,,1,899456,31.17 -34.07,250.0333,46.6942,12.14,5.02,350,0.949,12994,13105,13116,12716,13140,0,0,85.467,0,0,3524,0,0
100854,2 36.55 0.35,204.2,,,3,1043881,3.01 35.54,137.9229,39.9576,13.42,21.36,1057,2.871,17377,17401,17365,17507,18316,450,0,2360,0,0,0,0,0
103980,2 36.54 0.35,203.2,,,1,699394,308.44 30.72,148.4049,-4.3786,12.68,11.18,565,1.533,15457,15298,15226,15750,16399,0,0,360,0,0,0,0,0
204293,2 36.54 0.35,203.2,,,1,263667,320.65 -36.36,216.4754,-1.1131,12.27,10.39,392,1.065,15256,15130,15083,15202,15806,0,0,120.667,0,0,0,0,0
104797,2 36.53 0.35,202.8,,,1,867111,302.96 44.35,134.1113,-5.7331,12.22,6.43,375,1.017,13679,13538,13473,14010,14524,0,0,105.2,0,0,2699,0,0
101418,2 36.53 0.35,202.3,,,2,50723,326.90 37.64,142.813,11.3891,12.53,6.51,494,1.343,13775,13678,13615,14033,14551,860,0,241.333,0,0,0,0,0
204137,2 36.52 0.35,201.4,,,1,17428,268.60 -32.96,220.4393,-43.3992,12.36,11.03,425,1.155,15742,15527,15481,15798,16451,0,0,153.333,0,0,0,0,0
205189,2 36.52 0.31,201.8,,,1,66430,352.95 -44.05,231.2444,19.9882,11.91,3.57,286,0.776,11174,11155,11133,10985,11303,0,0,46.533,0,0,0,0,0
